index,prompt,has_numeral,is_frequent,entities,prompt_type,dataset_id
0,1 dog.,0,1,dog:1,numeric_simple,geckonum_00000
1,1 fish.,0,1,fish:1,numeric_simple,geckonum_00001
2,1 cat.,0,1,cat:1,numeric_simple,geckonum_00002
3,1 ant.,0,1,ant:1,numeric_simple,geckonum_00003
4,1 fly.,0,1,fly:1,numeric_simple,geckonum_00004
5,1 axolotl.,0,0,axolotl:1,numeric_simple,geckonum_00005
6,1 seahorse.,0,0,seahorse:1,numeric_simple,geckonum_00006
7,1 kangaroo.,0,0,kangaroo:1,numeric_simple,geckonum_00007
8,1 koala.,0,0,koala:1,numeric_simple,geckonum_00008
9,1 manatee.,0,0,manatee:1,numeric_simple,geckonum_00009
10,One dog.,1,1,dog:1,numeric_simple,geckonum_00010
11,One fish.,1,1,fish:1,numeric_simple,geckonum_00011
12,One cat.,1,1,cat:1,numeric_simple,geckonum_00012
13,One ant.,1,1,ant:1,numeric_simple,geckonum_00013
14,One fly.,1,1,fly:1,numeric_simple,geckonum_00014
15,One axolotl.,1,0,axolotl:1,numeric_simple,geckonum_00015
16,One seahorse.,1,0,seahorse:1,numeric_simple,geckonum_00016
17,One kangaroo.,1,0,kangaroo:1,numeric_simple,geckonum_00017
18,One koala.,1,0,koala:1,numeric_simple,geckonum_00018
19,One manatee.,1,0,manatee:1,numeric_simple,geckonum_00019
20,2 dogs.,0,1,dog:2,numeric_simple,geckonum_00020
21,2 fish.,0,1,fish:2,numeric_simple,geckonum_00021
22,2 cats.,0,1,cat:2,numeric_simple,geckonum_00022
23,2 ants.,0,1,ant:2,numeric_simple,geckonum_00023
24,2 flies.,0,1,fly:2,numeric_simple,geckonum_00024
25,2 axolotls.,0,0,axolotl:2,numeric_simple,geckonum_00025
26,2 seahorses.,0,0,seahorse:2,numeric_simple,geckonum_00026
27,2 kangaroos.,0,0,kangaroo:2,numeric_simple,geckonum_00027
28,2 koalas.,0,0,koala:2,numeric_simple,geckonum_00028
29,2 manatees.,0,0,manatee:2,numeric_simple,geckonum_00029
30,Two dogs.,1,1,dog:2,numeric_simple,geckonum_00030
31,Two fish.,1,1,fish:2,numeric_simple,geckonum_00031
32,Two cats.,1,1,cat:2,numeric_simple,geckonum_00032
33,Two ants.,1,1,ant:2,numeric_simple,geckonum_00033
34,Two flies.,1,1,fly:2,numeric_simple,geckonum_00034
35,Two axolotls.,1,0,axolotl:2,numeric_simple,geckonum_00035
36,Two seahorses.,1,0,seahorse:2,numeric_simple,geckonum_00036
