image_id,model,prompt,gt_num,annot_id,answer_text,answer_num
geckonum_00800_0,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,0,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_0,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,5,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_0,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,17,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_0,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,12,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_0,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,6,An image with some kangaroos and some cribs. There are more kangaroos than cribs.,4
geckonum_00800_1,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,10,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_1,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,18,An image with no kangaroos and with no cribs.,0
geckonum_00800_1,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,21,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_1,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,11,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_1,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,8,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_2,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,1,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_2,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,7,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_2,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,13,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_2,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,23,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_2,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,22,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_3,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,0,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_3,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,10,An image with no kangaroos and with no cribs.,0
geckonum_00800_3,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,6,An image with no kangaroos and with no cribs.,0
geckonum_00800_3,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,15,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_3,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,14,An image with no kangaroos and with no cribs.,0
geckonum_00800_4,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,0,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_4,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,10,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_4,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,6,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_4,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,15,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00800_4,imagen_c,An image with some kangaroos and some cribs. There are fewer kangaroos than cribs.,2,1,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
geckonum_00801_0,imagen_c,An image with some kangaroos and some cribs. There are as many kangaroos as cribs.,3,0,"An image with some kangaroos or some cribs, but not with both kangaroos and cribs.",1
