image_id,model,question_id,question,prompt,annot_id,answer
geckonum_00969_0,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,21,1
geckonum_00969_0,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,12,1
geckonum_00969_0,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,23,1
geckonum_00969_0,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,14,1
geckonum_00969_0,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,8,1
geckonum_00969_0,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,21,1
geckonum_00969_0,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,12,1
geckonum_00969_0,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,23,1
geckonum_00969_0,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,14,0
geckonum_00969_0,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,8,0
geckonum_00969_1,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,0,1
geckonum_00969_1,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,10,1
geckonum_00969_1,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,5,1
geckonum_00969_1,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,15,1
geckonum_00969_1,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,1,1
geckonum_00969_1,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,0,0
geckonum_00969_1,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,10,0
geckonum_00969_1,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,5,0
geckonum_00969_1,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,15,0
geckonum_00969_1,muse_b,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,1,0
geckonum_00969_2,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,17,1
geckonum_00969_2,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,7,1
geckonum_00969_2,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,13,1
geckonum_00969_2,muse_b,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,3,1
